Name,Simple Rating,Industry,Industry Index Correlation
Air Canada,B,Transportation,0.6
Bank of America,BBB,Financial,0.6
Barclays PLC,BBB,Financial,0.6
Carrick North America Finance LLC,BBB,Metals,0.6
CBS CORP,BBB,Media,0.6
CHN INDUSTRIAL CAPITAL LLC ,BB,Manufacturing,0.6
Coca-Cola Enterprises Inc,BBB,Foodstuff,0.6
DEUTSCHE BANK AG,BB,Financial,0.6
Fedex Corp,BBB,Transportation,0.6
Ford Motor,BBB,Auto,0.6
GENERAL MOTORS FINANCIAL COMPANY ,BBB,Auto,0.6
Jaguar Land Rover Automotive PLC,BB,Auto,0.6
MARATHON PETROLEUM CORP,BBB,Energy,0.6
Multicanal SA,CCC,Telecommunications,0.6
Navient Corp,BB,Financial,0.6
NEW YORK TIMES CO,B,Media,0.6
Newmont Mining Corp.,BBB,Metals,0.6
Petrobras GlobalFinance BV,BB,Energy,0.6
ROYAL CARIBBEAN CRUISE LINES,BB,Leisure,0.6
SOUTHWEST AIRLINES,BBB,Transportation,0.6
THERMO FISHER SCIENTIFIC INC,BBB,Medical,0.6
Transocean Inc,B,Energy,0.6
Vale Overseas Ltd,BBB,Mining,0.6
VIRGIN MEDIA FINANCE PLC,BB,Telecommunications,0.6
Yum Brands Inc,BB,Leisure,0.6